"","Team","Season","Gm","PDO","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","ZSO%"
"18","BOS","20152016",72,100.5,140,130,10,48.5,110.8,74.8,7.9,92.6,49.6,48.5
"17","BOS","20142015",82,100,140,137,3,51.7,107.7,72.2,7.1,92.9,53.1,49.9
"16","BOS","20132014-Playoffs",12,100,17,15,2,53.9,109.1,74,5.5,94.5,52.1,54.1
"15","BOS","20132014",82,102.5,175,111,64,53.8,108.3,72,8.5,94,51.3,54.4
"14","BOS","20122013-Playoffs",22,101.7,47,35,12,51,117.2,72.4,7.4,94.3,54.1,50.4
"13","BOS","20122013",48,100.5,92,74,18,54.3,113.7,71.8,7.3,93.2,56,49.5
"12","BOS","20112012-Playoffs",7,98.1,11,12,-1,57.2,109.1,74.5,5.4,92.7,49.1,54.3
"11","BOS","20112012",82,101.4,190,145,45,53.8,111.1,72.3,9,92.4,54.9,51.6
"10","BOS","20102011-Playoffs",25,104.7,60,33,27,50.3,118.5,73,9.7,95,53.2,53.6
"9","BOS","20102011",82,102.4,175,123,52,50.7,116.4,74.1,8.3,94.1,52.1,48.3
"8","BOS","20092010-Playoffs",13,97.3,20,29,-9,52.7,111.8,69.4,6.2,91,54.7,48.3
"7","BOS","20092010",81,99.3,132,136,-4,52.6,105.2,73.4,6.7,92.6,53.6,51.1
"6","BOS","20082009-Playoffs",11,104.2,26,16,10,49.1,104.8,72.3,10.4,93.8,50.3,48.2
"5","BOS","20082009",81,103,165,113,52,50.5,105,72.8,9,94,51.1,48.8
"4","BOS","20072008-Playoffs",7,98.3,9,13,-4,53.7,111.8,63.8,6.7,91.6,49.8,49.4
"3","BOS","20072008",81,100.4,123,118,5,51.3,100.5,72.1,7.1,93.3,49.5,48.5
"2","BOS","20062007",78,98.7,112,160,-48,45.9,105.2,73.6,8.4,90.3,48.3,44.2
"1","BOS","20052006",78,99.8,138,143,-5,49.6,107.1,73.9,9.4,90.5,51.9,47.4
